,average_R_all_regions,average_R_all_regions,average_R_all_regions,average_R_all_regions,average_R_all_regions,average_R_all_regions,average_R_all_regions,average_R_all_regions,average_R_all_regions,average_R_all_regions
testName,None,None,Stage1,Stage1,Stage2,Stage2,Stage3,Stage3,Stage4,Stage4
global_transmissibility,0.243,0.297,0.243,0.297,0.243,0.297,0.243,0.297,0.243,0.297
count,83,83,83,83,83,83,83,83,83,83
mean,2.497271254,3.026745868,1.924086411,2.35201253,1.47152973,1.912104477,0.889889862,0.929380393,0.741272478,0.787144665
std,0.190698247,0.293052216,0.152296039,0.201777584,0.173848996,0.166157617,0.069391283,0.058680552,0.058939975,0.050383228
min,2.064878262,2.555313965,1.525819926,1.794318267,1.154351886,1.525164254,0.646706587,0.769547325,0.625368732,0.62601626
25%,2.351685544,2.831373172,1.824339893,2.239940399,1.353511958,1.807099033,0.85589701,0.888300395,0.705710834,0.75654522
50%,2.512358865,3.003166894,1.914666673,2.333887645,1.449178751,1.909177437,0.889830508,0.942028986,0.751351351,0.788990826
75%,2.63715608,3.200840424,2.015956375,2.438054388,1.577867455,2.007935423,0.93624033,0.971978305,0.77711455,0.819147657
max,2.970610682,4.525073602,2.280083016,2.982513352,1.957585112,2.431829925,1.065934066,1.041436464,0.884146341,0.915
,,,,,,,,,,
,average_R_region_1,average_R_region_1,average_R_region_1,average_R_region_1,average_R_region_1,average_R_region_1,average_R_region_1,average_R_region_1,average_R_region_1,average_R_region_1
testName,None,None,Stage1,Stage1,Stage2,Stage2,Stage3,Stage3,Stage4,Stage4
global_transmissibility,0.243,0.297,0.243,0.297,0.243,0.297,0.243,0.297,0.243,0.297
count,83,83,83,83,83,83,83,83,83,83
mean,2.597973527,3.176483424,2.064252088,2.497743448,1.575922217,2.046909367,0.941590411,0.98711892,0.752148229,0.808987552
std,0.330573012,0.550459282,0.221381967,0.296510548,0.195764297,0.230993705,0.101891342,0.082196306,0.099818287,0.083554917
min,1.910627639,2.253152833,1.490071976,1.82254307,1.157414171,1.215455896,0.607843137,0.74,0.487603306,0.507462687
25%,2.333361756,2.813701572,1.948568637,2.298312747,1.434176675,1.915995918,0.892175857,0.928276836,0.703703704,0.753393665
50%,2.648725598,3.075202099,2.060280698,2.470383996,1.579892463,2.064226423,0.940712395,0.992366412,0.77027027,0.815642458
75%,2.821087644,3.469682705,2.177971637,2.68224817,1.69927124,2.197455953,0.992957746,1.037158702,0.818089258,0.859818449
max,3.231346374,5.860713996,2.720921262,3.373697801,2.022832375,2.528597744,1.243243243,1.186440678,1,1
,,,,,,,,,,
,average_R_region_2,average_R_region_2,average_R_region_2,average_R_region_2,average_R_region_2,average_R_region_2,average_R_region_2,average_R_region_2,average_R_region_2,average_R_region_2
testName,None,None,Stage1,Stage1,Stage2,Stage2,Stage3,Stage3,Stage4,Stage4
global_transmissibility,0.243,0.297,0.243,0.297,0.243,0.297,0.243,0.297,0.243,0.297
count,83,83,83,83,83,83,83,83,83,83
mean,2.426224547,2.943056924,1.772605505,2.189965123,1.362066777,1.768137781,0.843722086,0.871867496,0.726307025,0.765301495
std,0.255905434,0.358250621,0.183283021,0.253318497,0.192760336,0.219707317,0.07770652,0.073608662,0.076072321,0.070278728
min,1.74021192,2.203953199,1.276126854,1.652613282,0.876124345,1.346071697,0.606299213,0.706896552,0.525179856,0.535483871
25%,2.250667869,2.638733458,1.663647089,1.995870091,1.234014647,1.618707938,0.795957361,0.817570994,0.665229885,0.729026715
50%,2.421265661,2.994573564,1.758136409,2.183033006,1.317982456,1.737840332,0.847619048,0.876811594,0.733333333,0.769784173
75%,2.589530931,3.174024617,1.899737431,2.365710204,1.457456003,1.933689668,0.896929825,0.919255184,0.772317476,0.806060606
max,3.161826117,4.124381484,2.24895174,2.751938039,1.935280008,2.327804519,1.020689655,1.037433155,0.881188119,0.924623116
