,Mnth,1,2,3,4,5,6,7,8,9,10,11,12,13
Urban,60+ double vacc'ed,8,2,0,0,0,0,,,,,,,
,18-59 double vacc'ed,62,62,30,0,0,0,,,,,,,
,12-17 double vacc'ed,7,8,7,15,15,32,,,,,,,
,5-11 double vacc'ed,0,0,0,0,0,0,,,,,,,
,60+ booster - one shot,0,0,0,0,0,0,,,,,,,
,18 to 59 booster - one shot,0,0,0,0,,0,,,,,,,
Rural,60+ double vacc'ed,10,10,10,5,0,0,,,,,,,
,18-59 double vacc'ed,72,72,78,152,16,0,,,,,,,
,12-17 double vacc'ed,8,8,9,17,18,97,,,,,,,
,5-11 double vacc'ed,0,0,0,0,0,0,,,,,,,
,60+ booster - one shot,0,0,0,0,0,0,,,,,,,
,18 to 59 booster - one shot,0,0,0,0,0,0,,,,,,,
