name,reduceInfect,reduceRisk,reduceSympt,reduceHosp,reduceMort,vacEffectDays,waneLnOdds,baseName
cur_2,0.8,0.8,0.00000001,0.5,0.5,10,0.01,vac
cur_3,0.8,0.8,0.00000001,0.5,0.5,10,0.01,vac
target,0.92,0.92,0.00000001,0.5,0.5,10,0.01,vac
multi,0.8,0.8,0.00000001,0.5,0.5,10,0.001,vac
base_post,0.9,0.9,0.00000001,0.5,0.5,0,0.01,recover
omlike_post,0.7,0.7,0.00000001,0.5,0.5,0,0.01,recover
novel_post,0.7,0.7,0.00000001,0.5,0.5,0,0.01,recover
omlike_high_post,0.7,0.7,0.00000001,0.5,0.5,0,0.01,recover
novel_high_post,0.7,0.7,0.00000001,0.5,0.5,0,0.01,recover
cur_2_60,0.8,0.8,0.00000001,0.5,0.5,10,0.01,vac_60
cur_3_60,0.8,0.8,0.00000001,0.5,0.5,10,0.01,vac_60
target_60,0.92,0.92,0.00000001,0.5,0.5,10,0.01,vac_60
multi_60,0.8,0.8,0.00000001,0.5,0.5,10,0.001,vac_60
base_post_60,0.9,0.9,0.00000001,0.5,0.5,0,0.01,recover_60
omlike_post_60,0.7,0.7,0.00000001,0.5,0.5,0,0.01,recover_60
novel_post_60,0.7,0.7,0.00000001,0.5,0.5,0,0.01,recover_60
omlike_high_post_60,0.7,0.7,0.00000001,0.5,0.5,0,0.01,recover_60
novel_high_post_60,0.7,0.7,0.00000001,0.5,0.5,0,0.01,recover_60
